name,class,subclass,subsubclass,photo,location,relations_materials,relations_products,description
Mask projection stereolithography,Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Photopolymerization',2029_mask_projection_stereolithography,,"--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1098 (Epoxies)",,"MASK PROJECTION STEREOLITHOGRAPHY (MPSLA) is an additive manufacturing technique similar to Stereolithography (SLA), but it builds up objects layer-by-layer. A digital micromirror device (array of mirrors, each corresponding to a single pixel, which may either be in the ON or OFF state) uses a UV laser to project a cross-section of the object into a bath of liquid photo-sensitive polymer. This cures an entire layer at once. When each layer is cured, the part is lowered on a platform into the bath to allow a new layer of liquid polymer to be wiped across the surface and the process repeated. Cleaning followed by post-production UV curing is required to completely solidify the prototype. Fabricating a part using this method requires a CAD model, from which the cross-sections are derived.
 
 The process is also known as Digital Light Processing (DLP) and is the closest alternative to solid ground curing which is now obsolete."
Stereolithography,Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Photopolymerization',2030_stereolithography,,"--1050 (Stainless steel)
--1056 (Copper)
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1093 (Polystyrene (PS))
--1098 (Epoxies)",,"STEREOLITHOGRAPHY (SLA) is the oldest and most widely used of the additive manufacturing systems. It is a vector scan process which uses a mirror to guide a UV laser to cure selected parts of a thin film of a photo-sensitive resin, building up a solid plastic object point-by point. When all points in one layer are complete, the part is lowered on a platform into the resin bath (typically by 0.1 mm) so that a new layer of liquid resin can be wiped across its surface. Cleaning followed by post-processing UV curing is needed to completely solidify the prototype. Fabricating an SLA part requires a CAD model of the part."
Electron beam melting,Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Powder Bed Fusion',2031_electron_beam_melting,,"--1049 (Medium carbon steel)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)",,"ELECTRON BEAM MELTING (EBM) is a powder bed fusion technique similar to SLM. In this process a high-energy electron beam is scanned across a thin layer of metallic powder, causing local melting and resolidification. A thin layer of powder is then spread on top by a wiper or milling head and the process repeated until the object is complete. To maintain a steady-state uniform temperature throughout the build, the substrate is heated before laying the powder bed. Operating at an elevated temperature results in a grain pattern more similar to cast microstructures. As with other additive manufacturing processes, a CAD solid model of the part is used to create the code to guide the electron beam.
 
 This process is also known as in-situ shelling."
Selective laser melting,Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Powder Bed Fusion',2032_selective_laser_melting,,"--1050 (Stainless steel)
--1057 (Gold)
--1065 (Silver)",,"SELECTIVE LASER MELTING (SLM) is a powder bed fusion technique. A laser beam is scanned across the surface, as with Selective Laser Sintering (SLS), but in this case it completely melts the powder locally to produce a fully dense model without the need for infiltration. As each layer is completed a new thin layer of powder is swept over the top by a wiper or milling head and the process repeated. Although analogous to EBM, the substrate is not heated so the temperature of the object increases during production. The result is an unusual microstructure unlike that of parts which have been cast. As with other additive manufacturing processes, a CAD solid model of the part is required."
"Selective laser sintering, metals and ceramics",Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Powder Bed Fusion',2033_selective_laser_sintering,,"--1014 (Alumina)
--1015 (Aluminum nitride)
--1016 (Boron carbide)
--1017 (Silicon)
--1018 (Silicon carbide)
--1019 (Silicon nitride)
--1020 (Tungsten carbides)
--1021 (Zirconia)
--1046 (High carbon steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)",,"SELECTIVE LASER SINTERING (SLS) for metals and ceramics uses a clever trick to create fully-dense parts with good precision, using a similar method to Selective Laser Melting (SLM). The uppermost layer of a bed of powdered material is loosely bonded through slight sintering by a scanned laser beam. A new layer of powder is then swept across the surface by a wiper or milling head and the process repeated, building the model layer by layer. Originally, the metal or ceramic powder would be coated in a polymer binder before being placed in an oven to vaporize the binder and sinter the remaining powder. When complete the very porous model is infiltrated with liquid bronze, which wets and is drawn into the porosity. This gives a fully dense product, with a complex external and internal shape (such as cooling channels) that can be used as a die for injection molding and die casting. There is now a variant of this process, Direct Metal Laser Sintering (DMLS), which uses a higher energy laser to directly melt the outside of the particles during formation to sinter in-situ without the use of a polymer binder. Parts produced in this way may also be infiltrated if a full density is required. Machining is often used after manufacture to reduce the surface roughness. As with other additive manufacturing processes, a CAD solid model is used to create an STL file that drives the scanning system.
 
 The process is also known as Direct Metal Laser Sintering (DMLS) or in-situ shelling."
"Selective laser sintering, polymers",Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Powder Bed Fusion',2034_selective_laser_sintering,,"--1080 (Acrylonitrile butadiene styrene (ABS))
--1081 (Cellulose polymers (CA))
--1082 (Ionomer (I))
--1083 (Polyamides (Nylons, PA))
--1084 (Polycarbonate (PC))
--1090 (Polymethyl methacrylate (Acrylic, PMMA))
--1093 (Polystyrene (PS))
--1094 (Polytetrafluoroethylene (Teflon, PTFE))",,"SELECTIVE LASER SINTERING (SLS) is an additive manufacturing technique that operates on the same principles as stereolithography, but uses a fine, heat-fusible powder (a thermoplastic or wax), which is fused together by a scanned laser beam to build the model. A new layer of powder is then swept across the surface by a wiper or milling head and the process repeated, building the model layer-by-layer. The surface is stepped due to the layers so it requires machining after manufacture to reduce the roughness. As with other additive manufacturing processes, a CAD solid model is used to create and STL file that drives the scanning system.
 
 The process is also known as laser sintering."
Solid ground curing (obsolete),Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Powder Bed Fusion',2035_solid_ground_curing,,"--1090 (Polymethyl methacrylate (Acrylic, PMMA))",,"SOLID GROUND CURING (SGC) is an additive manufacturing technique which differs in concept from laser-based methods. A negative image of the layer of the part to be produced is created electrostatically on a glass plate (as in a photocopier). The mask is positioned over a bath of photo-sensitive resin and the clear areas cured by exposure to UV light. The resin is wiped clear, leaving hardened areas intact. Wax is applied to the top surface to provide support to the cured resin, and solidified by chilling. The top surface is then milled back to the required thickness and the next layer of resin is applied for curing. As with other additive manufacturing processes, a CAD solid model of the part is required.
 
 This technique is now obsolete, having been superseded by Mask Projection Stereolithography (MPSLA) which does not require chilling or milling during the building process."
Laminated object manufacture,Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Sheet Lamination',2036_laminated_object_manufacturing,,"--1040 (Paper and cardboard)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1086 (Polyethylene (PE))
--1092 (Polypropylene (PP))",,"In LAMINATED OBJECT MANUFACTURE (LOM) the prototype or model is usually built up from layers of paper (polymers or metals are also possible with some machines), laminated with a heat sensitive polymer binder. To create one layer, binder-coated sheet material is fed from a roll, positioned over the model, and cut to shape by a guided laser beam. The cut profile is pressed onto the model by a heated roller, bonding it to the layers beneath and the sequence is repeated. The process is faster than SLA or SLS because only the outline of the part needs to be covered by the laser. When using paper the finished material resembles wood. As with other rapid prototyping processes, a CAD solid model of the part is used to create the instructions to guide the laser."
Ultrasonic consolidation,Shaping,Shaping: Additive Manufacturing',Shaping: Additive Manufacturing: Sheet Lamination',2037_ultrasonic_consolidation,,"--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1116 (Graphite)",,"ULTRASONIC CONSOLIDATION (UC) is a hybrid additive-subtractive process in which an object is built up from layers of metal foil. many foils side-by side which is bonded using ultrasonic metal seam welding, then after around 40 layers, trimmed using CNC millin rotating sonotrode travels along the length of each foil strip as it is laid down. This device oscillates at 20kHz transversely to the dir causing metallic bonds to form between sheets. As with other additive manufacturing processes, a CAD solid model of the part is re
 
 The process is also known as ultrasonic additive manufacturing."
Gravity die casting,Shaping,Shaping: Casting',Shaping: Casting: Die Casting',2038_gravity_die_casting,"-- Jewelry Studio (https://hop.dartmouth.edu/online/jewelry)
 -- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html)","--1052 (Cast Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1060 (Cast magnesium alloys)",,"In GRAVITY DIE or PERMANENT MOLD CASTING, molten metal is poured under gravity into a metal mold where it remains until it solidifies. The mold is then opened and the casting is removed. The mold is usually made of cast iron, but low carbon steels and die steels can also be used. The dies can be of relatively simple construction produced in two halves. Metal or sand cores can be used for making internal details. Shapes are relatively simple with simple coring and fairly uniform wall thickness. The process can be mechanized."
High pressure die casting,Shaping,Shaping: Casting',Shaping: Casting: Die Casting',2039_high_pressure_die_casting,,"--1022 (Aluminum/Silicon carbide composite)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)",,"Most small aluminum, zinc or magnesium components with a complex shape - camera bodies, housings, the chassis of video recorders - are made by DIE CASTING. It is to metals what injection molding is to polymers, and the two compete directly. In the process, molten metal is injected under high pressure into a metal die through a system of sprues and runners. The pressure is maintained until the component is solid, when the die is opened and the component ejected. The dies are precision-machined from heat-resistant steel and are water cooled to increase life."
Low pressure die casting,Shaping,Shaping: Casting',Shaping: Casting: Die Casting',2040_low_pressure_die_casting,,"--1052 (Cast Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1060 (Cast magnesium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)",,"In LOW PRESSURE DIE CASTING, molten metal is displaced upwards into a die by low pressure gas. The die cavity is filled slowly upwards which minimizes entrained air and gives high soundness. Such castings have better metallurgical integrity than conventional die castings, and they can be heat-treated. The process has most of the benefits of die casting without the disadvantages. The dies are made from cast iron which is comparatively cheap and easy to machine. Tool steel inserts may be used for high production runs of complex castings. Tooling costs are about half those for pressure die casting. The process is only suitable for low melting point alloys (Tm < 950 C). Shapes are of average complexity and undercuts are possible but expensive."
Ceramic shell evaporative mold casting,Shaping,Shaping: Casting',Shaping: Casting: Investment Casting',2041_ceramic_shell_evaporative_mold_casting,,"--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1128 (Pewter)",,"The CERAMIC SHELL EVAPORATIVE MOLD (REPLICAST) process combines the advantages of investment casting and the EPC (evaporative pattern) processes. An expanded polystyrene pattern is made as in the EPC process and then is coated with a ceramic layer as in investment casting. The mold assembly is fired at 1000C which burns off the pattern and produces an inert shell, which is supported in a sand bed during casting. The use of expanded polystyrene for the pattern enables large, light weight patterns to be produced. The process gives many of the benefits of investment casting -- especially surface finish and tolerances --and extends the size range for investment casting."
Investment casting,Shaping,Shaping: Casting',Shaping: Casting: Investment Casting',2042_investment_casting,-- Jewelry Studio (https://hop.dartmouth.edu/online/jewelry),"--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1128 (Pewter)",,"If you have gold fillings (or more elaborate metal work) in your mouth, be thankful for this process - it was used to make them. The lost wax process - the old name for INVESTMENT CASTING - has been practiced for at least three thousand years; sophisticated jewelry, ornaments and icon were being made in Egypt and Greece well before 1500BC. In investment casting, wax patterns are made and assembled (if small) into a tree with feeding and gating systems. The assembled pattern is dipped into refractory slurry, then covered in refractory stucco and allowed to dry. The procedure is repeated a number of times until about 8 layers have built up, creating a ceramic investment shell. The wax is then melted out and the ceramic shell fired before the molten metal is cast. Gravity die casting is adequate for simple shapes, but air pressure, vacuum or centrifugal pressure is needed to give complete filling of the mold when complex, thin sections are involved. The mold is broken up to remove the castings. The process is suitable for most metals of melting temperatures below 2200 C. Because the wax pattern is melted out, the shape can be very complex, with contours, undercuts, bosses, and recesses. For making hollow shapes, this process is very sophisticated: all large bronze statues are hollow, and they are made by an elaboration of this process."
Evaporative pattern sand casting,Shaping,Shaping: Casting',Shaping: Casting: Sand Casting',2043_evaporating_pattern_sand_casting,,"--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1052 (Cast Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1060 (Cast magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1128 (Pewter)",,"In EVAPORATIVE PATTERN CASTING, a pattern is made of polystyrene foam and is coated with a refractory coating. It is then embedded in dry unbonded sand which is vibrated to produce a rigid mold.
 The polystyrene pattern is vaporized when the mold is filled with molten metal. Patterns are made by machining blocks of expanded polystyrene. Because the pattern does not have to be removed, very complex shapes with undercuts and re-entrant angles are feasible.
 
 Cores are eliminated and no sand binders are needed."
Low pressure sand casting,Shaping,Shaping: Casting',Shaping: Casting: Sand Casting',2044_low_pressure_sand_casting,,"--1052 (Cast Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1060 (Cast magnesium alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)",,"The LOW PRESSURE SAND CASTING or COSWORTH process is a high-precision sand casting process developed for the production of premium quality aluminum alloy castings for the automobile industry.
 Zircon sand is used in place of the more usual silica sand to overcome the problem of unpredictable expansion, allowing more precise castings. The sand is mixed with a binder and shaped into a mold before the curing agent is introduced. The curing agent in the form of a gas (the gas hardening SO2 process) is passed through the sand/binder mixture resulting in the polymerization of the resin.
 
 Metal is melted and held in an electric resistance furnace. The metal is transferred by a pump from the furnace to the mold and enters the base of the mold through gates. These gates, together with the pump control system, control the rate of mold filling and provide pressure assisted feeding. The absence of conventional gating and feeding systems results in castings free of porosity and inclusions."
Sand casting,Shaping,Shaping: Casting',Shaping: Casting: Sand Casting',2045_sand_casting,,"--1044 (Cast iron, ductile (nodular))
--1045 (Cast iron, gray)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1128 (Pewter)",--3060 (Frying Pan (Cast Iron)),"SAND CASTING probably started on beaches -- every child knows how easy it is to make sand castles. Add a binder and much more complex shapes become possible. And sand is a refractory; even iron can be cast in it. In GREEN SAND CASTING, a mixture of sand and clay is compacted in the split mold around a pattern that has the shape of the desired casting. The pattern is removed to leave the cavity in which the metal is poured. Cheap wooden patterns, with gates and risers attached, are used when the batch size is small and the process is manual, but this is slow and labor intensive. Automated systems use aluminum patterns and automated compaction. The sand mold is referred to as 'green' when it is used in a moist condition. Dry sand molds are stronger and more rigid, and thus are used in making large heavy castings.
 
 In CO2 /SILICATE SAND CASTING, a mixture of sand and sodium silicate binder is packed around a pattern as before and flooded with CO2 to seal the sodium silicate gel. The mold is, in principle, reusable, but deteriorates quickly. In EVAPORATIVE SAND CASTING, the pattern is made from polystyrene foam, and is first coated with a refractory coating and then embedded in dry, unbonded sand. When molten metal is poured into the mold, the polystyrene pattern vaporizes. Very complex shapes of undercuts at re-entrant angles are feasible without the use of cores. In SHELL CASTING, a mixture of fine-grained sand and thermosetting resin is applied to a heated metal pattern (aluminum or cast iron) and cured to form a shell. Two matching shells are then joined to form a complete mold which is then placed in a frame packed with sand. The process gives good surface finish and better dimensionality than conventional sand casting."
Autoclave molding,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Advanced Composite Forming',2046_autoclave_molding,,"--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)",,"In AUTOCLAVE MOLDING, reinforcement is layed-up on the mold and the resin is applied by conventional hand or spray lay-up techniques. The laminate is backed with a porous film parting agent and a layer of glass-fiber cloth or paper to absorb any excess resin. A flexible bag is placed on top of the glass-fiber layer. The laminate and the mold are then placed inside an autoclave and subjected to pressures of about 0.55 MPa compressing the laminate, squeezing out air pockets to give a dense product free from porosity. The autoclave is often heated to accelerate curing and increase productivity. Autoclave molding is used extensively to fabricate high strength aircraft and aerospace components. particularly for thicker parts or where high fiber volume fraction is required."
Pultrusion,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Advanced Composite Forming',2047_pultrusion,,"--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)",,"In PULTRUSION, resin-impregnated fibers or fabrics are pulled through a series of hardened steel forming dies. The last die is heated to cure the resin, producing a rigid composite section. The profile is determined by the die cross-section; solid or hollow circular, rectangular, square sections, and channel and I-sections, are all possible. The speed of travel through the die is determined by the viscosity, thickness and curing of the resin. The section produced is either cut into discrete lengths after the puller system or wound onto a drum."
Resin transfer molding (RTM),Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Advanced Composite Forming',2048_resin_transfer_molding,,"--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)
--1098 (Epoxies)
--1099 (Phenolics)
--1100 (Polyester)
--1124 (CPVC)
--1134 (Nitrile Rubber (Buna-N))",,"RESIN TRANSFER MOLDING (RTM) allows manufacture of complex shapes in fiber-reinforced composites without high tooling costs. It uses a closed mold, in two or more parts, usually made of glass-reinforced polymers or light metal alloys, with injection points and vents to allow air to escape. Reinforcement is cut to shape and placed in the mold, together with any inserts or fittings. The mold is closed and a low viscosity thermosetting resin (usually polyester) is injected under low pressure (roughly 2MPa) through a mixing head in which hardener is blended with the resin. The mold is allowed to cure at room temperature. The molding is allowed to cure at room temperature. The fluidity of the resin and the low molding pressure allows long tool life at low cost."
Vacuum and pressure bag molding,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Advanced Composite Forming',2049_vacuum_and_pressure_bag_molding,-- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html),"--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)",,"In VACUUM/PRESSURE BAG MOLDING reinforcement is layed-up on the mold and resin is applied by conventional hand or spray lay-up techniques. The laminate is then sealed beneath a rubber membrane and the air pumped. Atmospheric pressure or a pumped pressure applies a uniform compression across its surface. The single-part mold, made of epoxy, GRFP or metal, is relatively cheap. The use of vacuum or pressure bags gives high quality, dense products."
Vacuum assisted resin transfer molding (VARTM),Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Advanced Composite Forming',2050_vacuum_assisted_resin_transfer_molding,,"--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)",,"VACUUM ASSISTED RESIN TRANSFER MOLDING (VARTM) is a low-cost tooling way of manufacturing large complex shapes of composite materials. Reinforcement is placed in the mold in the form of layers of dry, woven fabric. This is covered by a peel ply and the whole lot is vacuum bagged. Resin is released and sucked into the bag by the vacuum, flowing through and impregnating the fabric, which is then cured."
BMC (DMC) molding,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Conventional Composite Forming',2051_BMC_(DMC)_molding,,"--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1026 (Sheet molding compound, SMC, polyester matrix)",,"BMC MOLDING is one of the most economical processes for the high volume production of small to medium sized components. In it, a preform of molding compound (resin, reinforcement, catalyst and additives already premixed in the optimum proportions) is placed in the heated mold cavity and then pressed into the finished shape. Pressures used vary between 0.5 and 15 MPa depending on mold dimensions and the material being processed. The mold is heated by steam, electricity or hot oil to temperatures of between 140-160C to cure the resin.
 The heat transferred from the mold surface initiates curing - the length of which varies according to the resin system used and with the component thickness. Because of the low shrinkage additives, the surface finish produced is excellent.
 
 The mold is either made of aluminum, cast iron or steel. The process makes use of a heated hydraulic press."
Filament winding,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Conventional Composite Forming',2052_filament_winding,,"--1023 (CFRP, epoxy matrix (isotropic))
--1024 (Dough (Bulk) molding compound, DMC (BMC), polyester matrix)
--1025 (GFRP, epoxy matrix (isotropic))
--1026 (Sheet molding compound, SMC, polyester matrix)",,"In FILAMENT WINDING, axisymmetric parts are produced by winding the resin-impregnated reinforcement (rovings or tape) on a rotating mandrel made of steel or plaster. The winding pattern -- helical, hoop or polar -- is chosen to maximized the performance of the application. A multi-axis winding spindle is used for winding more complex shapes. Winding is continued until the desired material thickness has been achieved. The component is pulled off the mandrel as soon as it has hardened. The high volume fraction of continuous reinforcement results in products with high strengths."
Lay-up methods,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Conventional Composite Forming',2053_layup_methods,-- Machineshop (http://engineering.dartmouth.edu/mshop/machines.html),"--1023 (CFRP, epoxy matrix (isotropic))
--1025 (GFRP, epoxy matrix (isotropic))",,"In HAND LAY-UP, an open mold (made of glass-reinforced polymers, wood, plaster, cement or light metal alloys) is coated with a resin to give a smooth surface skin. When this has cured, a layer of reinforcement (woven or knitted glass or carbon fiber) is laid on by hand, resin is applied by a brush or spray gun, and the layer is rolled to distribute the resin fully through the fibers. The process is repeated, layer by layer until the desired thickness is reached. The type of weave influences its ability to take up double curvature (""drapability""): random mat ('glass wool') and knitted fibers have good drapability; weaves with straight wefts do not. Flame retardants and inert fillers are added to reduce cost and improve properties. In SPRAY-UP a resin mixed with chopped fibers is sprayed into the mold; it is used for large components where the reinforcement fraction need not be large."
SMC molding,Shaping,Shaping: Composite Forming',Shaping: Composite Forming: Conventional Composite Forming',2054_SMC_molding,,,,"SMC MOLDING is one of the most economical processes for the high volume production of small-to-medium panels. Sheet molding compound (SMC) is premix of resin, chopped reinforcement, catalyst (if any) and additives. The process uses an accurate matched metal mold which is placed in a heated press. The sheet is first cut to a shape similar to the mold to minimize the distance the mix has to flow to fill the mold. . The mold is then closed and pressure (3-7 MPa) and heat are applied to form and cure the panel."
Extrusion,Shaping,Shaping: Deformation',Shaping: Deformation: Bulk Deformation',2055_extrusion,,"--1014 (Alumina)
--1015 (Aluminum nitride)
--1016 (Boron carbide)
--1018 (Silicon carbide)
--1019 (Silicon nitride)
--1020 (Tungsten carbides)
--1021 (Zirconia)
--1022 (Aluminum/Silicon carbide composite)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1065 (Silver)
--1066 (Tin)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1128 (Pewter)",,"The process of squeezing toothpaste from its tube is one of extrusion. The gooey toothpaste - or the gooey polymer or metal in the industrial process - is forced by pressure to flow through a shaped die, taking up the profile of the die orifice. In co-extrusion two materials are extruded at the same time and bond together - a trick used in toothpaste to create colored stripes in it."
Forging,Shaping,Shaping: Deformation',Shaping: Deformation: Bulk Deformation',2056_forging,-- Jewelry Studio (https://hop.dartmouth.edu/online/jewelry),"--1022 (Aluminum/Silicon carbide composite)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1049 (Medium carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1069 (Tungsten alloys)
--1070 (Commercially pure zinc)
--1071 (Zinc die-casting alloys)
--1128 (Pewter)","--3020 (Hammer (Hickory Wood Handle, Workforce))","In forging a metal ingot is squeezed to shape by dies that subject it to large plastic deformation. Nearly 90% of all steel products are either forged or rolled. In hot die forging a heated blank is formed between open or closed dies in a single compressive stroke. Often a succession of dies is used to create the final shape. In cold rolling and forging the metal blank is initially cold, although deformation causes some heating.
 
 The greatest precision and shape complexity is given by closed-die forging, illustrated below, but the size of component is limited to about 20 kg. Open-die forging is less precise, but can be applied to much larger components (up to 5000 kg)."
Rolling,Shaping,Shaping: Deformation',Shaping: Deformation: Bulk Deformation',2057_rolling,-- Jewelry Studio (https://hop.dartmouth.edu/online/jewelry),"--1022 (Aluminum/Silicon carbide composite)
--1046 (High carbon steel)
--1047 (Low alloy steel)
--1048 (Low carbon steel)
--1050 (Stainless steel)
--1051 (Age-hardening wrought Al-alloys)
--1052 (Cast Al-alloys)
--1053 (Non age-hardening wrought Al-alloys)
--1054 (Brass)
--1055 (Bronze)
--1056 (Copper)
--1057 (Gold)
--1058 (Commercially pure lead)
--1059 (Lead alloys)
--1060 (Cast magnesium alloys)
--1061 (Wrought magnesium alloys)
--1062 (Nickel)
--1063 (Nickel-based superalloys)
--1064 (Nickel-chromium alloys)
--1065 (Silver)
--1066 (Tin)
--1067 (Commercially pure titanium)
--1068 (Titanium alloys)
--1128 (Pewter)","--3013 (Sponge Scrubber (Cellulose Sponge))
--3071 (Coffee Brewing Cone (polypropylene))
--3072 (Coffee Filter for Cone (Bleached Paper))
--3073 (Coffee Filter for Cone (Unbleached Paper))
--3076 (Coffee Filter System)
--3078 (Tea Filters (Unbleached Paper))
--3079 (Scrubber Sponge (Cellulose, Natural Value))
--3080 (Coffee Filter (for JavaJig, Melitta))
--3083 (Scrubber Sponge (Loofah Scrubber, Cellulose Sponge))
--3084 (Scrubber Sponge (Cellulose, Western Family))
--3086 (Aluminum Foil (virgin))
--3087 (Aluminum Foil (recycled))","In rolling a metal ingot is squeezed to shape by massive rolls that subject it to large plastic deformation. Nearly 90% of all steel products are rolled or forged. Billet and sheet are made by plane rolling, I-beams and other such continuous sections are made by shape rolling. In hot rolling, the ingot, heated to about 2/3 of its melting temperature, is forced through a series of rolls that progressively shape the profile."
